TSR|monsterKey|setting|mainTitle|title|name|Diet|Frequency|Hit Dice|Intelligence|Magic Resistance|Morale|Movement|No. Appearing|No. of Attacks|Organization|Size|Special Attacks|Special Defenses|THAC0|Treasure|XP Value|Alignment|Armor Class|Climate/Terrain|Damage/Attack
['2105', '2173']|anemongs|Dragonlance|Anemone, Giant Sea|Anemone, Giant Sea|Dragon Variety|Carnivore|Rare|7|Non- (0)|Nil|Fearless (19-20)|Sw 1|1|10 tentacles per creature|Solitary|L (8' diameter)|Paralysis, swallow whole|Nil|13|Nil|1,000|Neutral|6 (body)/8 (tentacle)|Ocean depths, tropical coasts|1d3
['2105', '2173']|anemongs|Dragonlance|Anemone, Giant Sea|Anemone, Giant Sea|Lance Variety|Carnivore|Very rare|16|Animal (1)|Nil|Steady (11)|¼|3-18|See below|School|L (10' diameter trunk)|See below|See below|5|See below|12,000|Neutral|2|Tropical, subtropical,<br>and temperate/Salt water|See below
['2105']|bearice|Dragonlance|Bear, Ice|Bear, Ice|Bear, Ice|Carnivore|Uncommon|6+2|Low (5-7)|Nil|Average (10)|12, Sw 3|1-4|3|Pack|L (12' tall)|Hugs for 2-12|See below|15|Nil|975|Neutral|6|Arctic/Plain, hill, and mountain|1-8/1-8/2-16
['2105']|beastund|Dragonlance|Beast, Undead|Beast, Undead|Gholor|None|Very rare|12+12|Non- (0)|20%|Elite (14)|0|1|3 or 1|Solitary|H (20' long)|Acidic bite|See below|7|G,H|8,000|Neutral|6|Any|3-9/3-9/3-24 or 3-18
['2105']|beastund|Dragonlance|Beast, Undead|Beast, Undead|Stahnk|None|Very rare|12+12|Non- (0)|20%|Elite (14)|9, Sw 9|1|3|Solitary|H (20' long)|Ensnare and fling|See below|7|G|8,000|Neutral|6|Any|3-9/3-9/3-24
['2105']|birdkryn|Dragonlance|Bird (Krynn)|Bird (Krynn)|'Wari|Herbivore|Rare|3|Animal (1)|Nil|Unsteady (7)|15|6-60|2 or 1|Flock|M (6' tall)|Trample|Nil|17|Nil|65|Neutral|6|Tropical, subtropical, and temperate/Plain|1-2/1-4 or 3-12
['2105']|birdkryn|Dragonlance|Bird (Krynn)|Bird (Krynn)|Emre|Herbivore|Rare|3|Animal (1)|Nil|Unsteady (7)|18, Fl 24 (C)|2-20|1|Flock|M (6' tall)|Nil|Nil|17|Nil|120|Neutral|7|Tropical, subtropical, and temperate/Plain|1-4 or 2-8
['2105']|birdkryn|Dragonlance|Bird (Krynn)|Bird (Krynn)|Kingfisher|Carnivore|Uncommon|1|Animal (1)|Nil|Unsteady (7)|1, Fl 36 (C)|4-24|1|Flock|M (4-5' tall)|Nil|Nil|19|Q|35|Neutral|5|Tropical, subtropical, and temperate/Plain, forest, and hill|1-4
['2105']|birdkryn|Dragonlance|Bird (Krynn)|Bird (Krynn)|Skyfisher|Carnivore|Uncommon|4|High (13-14)|Nil|Average (9)|3, Fl 24 (C)|1-20|1 or 2|Flock|S (3-4' tall)|Dive/Drop|Nil|17|L,M,N,Q|270|Neutral|3|Tropical, subtropical, and temperate/Mountain and hill|3-11 or 1-6/1-6
['2140', '2428', '2102', '2105']|cavefish|Advanced Dungeons & Dragons 2nd Edition|Cave Fisher|Cave Fisher|Cave Fisher|Carnivore|Rare|3|Semi- (2-4)|Nil|Steady (11-12)|1|1-4|2|Group|M (7' long)|Adhesive trapline|See below|17 or 15 (see below)|Any|175|Neutral|4|Subterranean|2-8 (2d4)/2-8 (2d4)
['2140', '2102', '2105']|centaur|Advanced Dungeons & Dragons 2nd Edition|Centaur|Centaur|Centaur|Omnivore|Rare|4|Low to average (5-10)|Nil|Elite (13-14)|18|1-8|3|Tribal|L (8-9' tall)|Nil|Nil|17|M,Q (D,I,T)|175<br>Leader: 270<br>Priest: 420|Neutral or chaotic good|5 (4)|Temperate forest|1-6/1-6 and weapon
['2140', '2105']|deatknig|Advanced Dungeons & Dragons 2nd Edition|Death Knight|Death Knight|Death Knight|None|Very rare|9 (10-sided dice)|Genius (17-18)|75% (see below)|Fanatic (17)|12|1|1 with +3 bonus|Solitary|M (6-7' tall)|See below|See below|11|Nil|6,000|Chaotic evil|0|Any|By weapon
['1050', '2105']|disir|Dragonlance|Disir|Disir|Disir|Omnivore|Very Rare|5|Highly (13-14)|Nil|Champion (15)|12|2d4|3|Tribal|M (6-7' tall)|Pain|Fire resistance|15|(B)|975|Lawful evil|3|Subterranean|2d4/2d4/2d6
['2105']|dracaura|Dragonlance|Draconian, Aurak|Draconian, Aurak|Draconian, Aurak|Special|Rare|8|Exceptional (15-16)|30%|Champion (15)|15|1-2|2 or 1|Solitary|M (7' tall)|Spells and breath|+4 bonus to saves|13|K,L,N,V|6,000|Lawful evil|0|Any, except water|3-10 (&times;2) or spell
['2105']|dracbaaz|Dragonlance|Draconian, Baaz|Draconian, Baaz|Draconian, Baaz|Special|Uncommon|2|Average (8-10)|20%|Elite (13)|6, Run 15 (this movement rate applies when the draconian is running on all fours, flapping its wings), Glide 18|2-20|2 or 1|Band|M (5½' tall)|Nil|Nil|19|M,Q, (D,I,T)|175|Lawful or chaotic evil|4|Any, but usually tropical and temperate/Forest, plain, and urban|1-4/1-4 or by weapon
['2105']|dracboza|Dragonlance|Draconian, Bozak|Draconian, Bozak|Draconian, Bozak|Special|Uncommon|4|Highly (13-14)|20%|Elite (13)|6, Run 15 (this movement rate applies when the draconian is running on all fours, flapping its wings), Glide 18, Fl 6 (E)|2-20|2 or 1|Band|M (6'+ tall)|Spells|+2 bonus to saves|17|Q&times;2, (U)|1,400|Lawful evil|2|Any, but usually tropical, subtropical, and temperate/Forest|1-4/1-4 or by weapon
['2105']|drackapa|Dragonlance|Draconian, Kapak|Draconian, Kapak|Draconian, Kapak|Carnivore|Uncommon|3|Average (8-10)|20%|Elite (13)|6, Run 15 (this movement rate applies when the draconian is running on all fours, flapping its wings), Glide 18|2-20|1|Band|M (6' tall)|Poison|Nil|17|K,L,M, (I,Y)|650|Lawful evil|4|Any, but usually tropical, subtropical, and temperate/Forest and mountain|1-4
['2105']|dracsiva|Dragonlance|Draconian, Sivak|Draconian, Sivak|Draconian, Sivak|Special|Uncommon|6|Highly (13-14)|20%|Elite (14)|6, Run 15 (this movement rate applies when the draconian is running on all fours, flapping its wings), Glide 18, Fl 24 (C)|2-20|3 or 1|Band|L (9' tall)|None|+2 bonus to saves|15|Q,½V, (Z)|2,000|Neutral evil|1|Any, but usually tropical, subtropical, and temperate/Mountain and hill|1-6/1-6/2-12 or by weapon
['2105', '1050']|dractraa|Dragonlance|Draconian, Proto-, Traag|Draconian, Proto-, Traag|Draconian, Proto-, Traag|Carnivore|Very rare|3|Low (5-7)|Nil|Special|6|2d6|2 or 1|Tribal|M (5-6' tall)|None|None|17|None|120<br>Chieftain 175|Chaotic evil|4|Temperate plain or forest|1d6/1d6 or by weapon
['2105']|dragamph|Dragonlance|Dragon, Amphi|Dragon, Amphi|Dragon, Amphi|Special|Rare|9 (base)|Very (11-12)|Varies|Champion (16)|6, SW 24|1-4|3 + special|Solitary|H (25' base length)|Tongue, breath weapon, and magical abilities|Varies|11 (at 9 HD)|Special|Varies|Neutral evil|3 (base)|Tropical, subtropical and temperate/Ocean|1-8/1-8/2-20
['2105']|dragastr|Dragonlance|Dragon, Astral|Dragon, Astral|Mated pair*|Any liquid|Very rare|35|Godlike (21+)|95%|Fanatic (17)|15, F1 48 (B)|2 (1 pair)|6|Pair|G (50' long each)|Spells|Immortal, spells|5|Nil|40,000|Neutral|-5|The Abyss|3-60(&times;4)/1-100(&times;2)
