TSR|monsterKey|setting|mainTitle|title|name|Diet|Frequency|Hit Dice|Intelligence|Magic Resistance|Morale|Movement|No. Appearing|No. of Attacks|Organization|Size|Special Attacks|Special Defenses|THAC0|Treasure|XP Value|Alignment|Armor Class|Climate/Terrain|Damage/Attack
['2125', '2166']|alaghi|Forgotten Realms|Alaghi|Alaghi|Alaghi|Omnivore|Very rare|9|Low (5-7)|Nil|Steady (11-12)|12|2-5|2|Family groups|L (6' tall with large girth)|Missile weapons|Stealth|11|I (no coins),Q|Adult: 2,000<br>Young: 120<br>Elder: 5,000<br>Hermit: 6,000<br>|Neutral|4|Temperate/mountainous forests|2-12/2-12 or by weapon type (+5 Strength bonus)
['2125']|alguduir|Forgotten Realms|Alguduir|Alguduir|Adult|Carnivore|Rare|4+4|Low to average (5-10)|40%|Elite (13-14)|6, Fl 21 (B), Sw 14|1-2|5|Solitary|M (7' long)|Nil|Spell reflection|17|Nil|975|Neutral|6|Marshes|1-6 (bill)/2-5 &times;2 (front claws)/2-4 &times;2 (rear claws)
['2125']|alguduir|Forgotten Realms|Alguduir|Alguduir|Young|Carnivore|Rare|1+1|Low (5-7)|40%|Unreliable (2-4)|4, Fl 16 (C), Sw 12|1-2|3|Family|S (1-4' long)|Nil|Spell reflection|20|Nil|420|Neutral|8|Marshes|1-4 (bill)/1-2 &times;2 (front claws)
['2125']|beguiler|Forgotten Realms|Beguiler|Beguiler|Beguiler|Omnivore|Rare|2|Average to high (8-14)|Nil|Average (8-10)|14|1-4|6|Solitary|S (2' long)|Illusion|Camouflage|19|D (L,N,Q)|270|Neutral|9|Dry steppes|1-2(&times;4)/1-4/1 or by weapon type
['2125']|birdtori|Forgotten Realms|Bird (Toril)|Bird (Toril)|Boobrie|Carnivore|Rare|9|Animal (1)|Nil|Steady (11-12)|15, Fl 15 (D)|1-2|3|Solitary|L (12' tall)|Surprise|Immune to poison|11|Nil|2,000|Neutral|5|Subtropical/Swamps|1-6(&times;2)/2-16
['2125']|birdtori|Forgotten Realms|Bird (Toril)|Bird (Toril)|Eblis|Carnivore|Very rare|4+4|Low to exceptional (5-16)|Nil|Champion (15-16)|12, Fl 12 (C)|4-16|4|Flock|L (8' tall)|See below|See below|15|Nil (U)|650<br>Spell user: 1,400|Neutral evil|3|Subtropical/Swamps|1-4
['2125']|birdtori|Forgotten Realms|Bird (Toril)|Bird (Toril)|Flightless|Herbivore|Common|1 to 3|Animal (1)|Nil|Average (8-10)|18|2-20|1|Flock|S to L (2-8' tall)|Nil|Nil|1-2 HD: 19<br>3 HD: 17|Nil|1 HD: 15<br>2 HD: 35<br>3 HD: 65|Neutral|7|Subtropical/Plains|1 HD: 1-4<br>2 HD: 1-6<br>3 HD: 1-8
['2125']|cantobel|Forgotten Realms|Cantobele|Cantobele|Cantobele|Carnivore|Rare|2 to 4|Average to high (8-13)|Nil|Champion (15-16)|12|1|8|Solitary|L (7-9' long)|Spell use|Immune to cold|2 HD: 19<br>3 HD: 18<br>4 HD: 17|All possible|2 HD: 650<br>3 HD: 975<br>4 HD: 1,400|Neutral evil|7|Swamps and forests|See below
['2125', '2173']|carapace|Dragon Magazine|Carapace|Carapace|Carapace|Carnivore, fungivore|Very rare|1+1 to 2+2|Non- (0)|Nil|Unreliable (2-4)|1|1|1|Solitary|S (1' diameter)|See below|See below|19|Nil|175|Neutral|10 or special|Underdark|1d2
['2125']|cattoril|Forgotten Realms|Cat (Toril)|Cat (Toril)|Change Cat|Carnivore|Rare|4|Animal (1)|Nil|Fanatic (17-18)|15 (45 in sprint)|1|3|Solitary|S (3' tall)|Rake|See below|17|Nil|270|Neutral|7|Temperate/Forests and plains|1-3(&times;2)/2-12
['2125']|cattoril|Forgotten Realms|Cat (Toril)|Cat (Toril)|Luck Eater|Special|Rare|4|Low (5-7)|Nil|Elite (13-14)|15|1|0|Solitary|T (1' tall)|See below|See below|17|Nil|420|Neutral|7|Any/Non-arctic|Nil
