TSR|monsterKey|setting|mainTitle|title|name|Diet|Frequency|Hit Dice|Intelligence|Magic Resistance|Morale|Movement|No. Appearing|No. of Attacks|Organization|Size|Special Attacks|Special Defenses|THAC0|Treasure|XP Value|Alignment|Armor Class|Climate/Terrain|Damage/Attack
['2116']|bajang|Kara-Tur (Forgotten Realms)|Bajang|Bajang|Bajang|Carnivore|Very rare|6|High (13-14)|10%|Steady (12)|12|1|2|Solitary|S (3' tall)|Spells, poison|See below|15|P|3,000|Chaotic evil|2|Tropical jungle|1-4/1-4
['2116']|bakemono|Kara-Tur (Forgotten Realms)|Bakemono|Bakemono|Bakemono|Carnivore|Uncommon|1-1|Low (5-7)|Nil|Average (10)|6|1-100|1|Band|S (4' tall)|Nil|Nil|20|A|15<br>Lieutenant: 35|Chaotic evil|6|Any nonarctic land|1-6 (weapon)
['2116']|bisan|Kara-Tur (Forgotten Realms)|Bisan|Bisan|Bisan|Special|Very rare|10|High (13-14)|40%|Elite (13)|24|1|1|Solitary|M (5' tall)|See below|See below|11|Q,T|6,000|Neutral|0|Tropical, subtropical, and temperate forests and jungles|1-10
['2116']|buso|Kara-Tur (Forgotten Realms)|Buso|Buso|Tagamaling Buso|Carnivore|Uncommon|Special|Animal (1)|Nil|Average (10)|12|1-6|3|Pack|M (5-6' tall)|Nil|Nil|Special|Nil|Varies|Chaotic evil|5|Any|1-4/1-4/1-8
['2116']|buso|Kara-Tur (Forgotten Realms)|Buso|Buso|Tigbanua Buso|Carnivore|Uncommon|8+2|Animal (1)|Nil|Average (10)|12|1-6|3|Pack|M (7' tall)|See below|Nil|13|Nil|2,000|Chaotic evil|4|Any nonarctic<br>forests and mountains|1-6/1-6/1-10
['2116']|carpgian|Kara-Tur (Forgotten Realms)|Carp, Giant|Carp, Giant|Carp, Giant|Omnivore|Uncommon|8-12|Animal (1)|Nil|Average (9)|Sw 18|1-4|1|Solitary or school|L (20-30' long)|Swallow whole|Nil|8 HD: 13<br>9-10 HD:11<br>11-12 HD: 9|Nil|8 HD: 3,000<br>9 HD: 4,000<br>10 HD: 5,000<br>11 HD: 6,000<br>12 HD: 7,000|Neutral|6|Tropical, subtropical, and temperate fresh water|2-20
['2116']|centspir|Kara-Tur (Forgotten Realms)|Centipede, Spirit|Centipede, Spirit|Greater|Special|Very rare|5+5|Average (8-10)|25%|Average (10)|See below|1|1|Solitary|S (4' long)|Fog cloud|Nil|15|Nil|975|Neutral|5|Any nonarctic land|1-4
['2116']|centspir|Kara-Tur (Forgotten Realms)|Centipede, Spirit|Centipede, Spirit|Least|Special|Very rare|1+5|Semi- (2-4)|10%|Unsteady (5)|See below|1|1|Solitary|T (6&rdquo; long)|Fog cloud|Nil|19|Nil|120|Neutral|9|Any nonarctic land|1
['2116']|centspir|Kara-Tur (Forgotten Realms)|Centipede, Spirit|Centipede, Spirit|Lesser|Special|Very rare|3+5|Low (5-7)|15%|Average (8)|See below|1|1|Solitary|T (1' long)|Fog cloud|Nil|17|Nil|270|Neutral|7|Any nonarctic land|1-2
['2116']|chuu|Kara-Tur (Forgotten Realms)|Chu-u|Chu-u|Chu-u|None|Very rare|8|Average (8-10)|20%|Steady (12)|3|1|1|Solitary|M (5' tall)|See below|Can be hit only by +1 or better weapons|13|Nil|3,000|Chaotic neutral|1 or -2 (see below)|Any subterranean|1-4
['2116']|continh|Kara-Tur (Forgotten Realms)|Con-tinh|Con-tinh|Con-tinh|Special|Rare|6|Average (8-10)|20%|Steady (11)|12|1-2|1|Solitary|M (5' tall)|Laugh|See below|15|I|2,000|Chaotic evil|7|Tropical, subtropical, and temperate plain, forest, jungle, hill|1-4
['2116']|doccuoc|Kara-Tur (Forgotten Realms)|Doc cu'o'c|Doc cu'o'c|Doc cu'o'c|Nil|Very rare|10|Genius (17)|70%|Champion (15)|24|1|2|Solitary|M (5' tall)|See below|See below|11|G|6,000|Chaotic good|-3|Tropical, subtropical, and temperate plain, forest, hill, and mountain|1-8/1-8 + special
['2116', '9258']|duruchil|Kara-Tur (Forgotten Realms)|Duruch'i-lin|Duruch'i-lin|Ch'i-lin|Special|Very rare|16|Genius (18)|See below|Fanatic (18)|24 (ground or water), Fl 36|1|3|Solitary|G (75')|See below|See below|7|Nil|18,000|Lawful good|-2|Temperate forests|1-10/1-10/3-18
['2116', '9258']|duruchil|Kara-Tur (Forgotten Realms)|Duruch'i-lin|Duruch'i-lin|Duru|Special|Very rare|13|Genius (18)|See below|Fanatic (18)|36 (ground, water, clouds), Fl 48|1|3|Solitary|G (60')|See below|See below|7|Nil|15,000|Lawful good|0|Temperate forests|1-6/1-6/2-12
['2116']|flamspir|Kara-Tur (Forgotten Realms)|Flame Spirit|Flame Spirit|Greater|Any combustible|Very rare|6|Low (5-7)|Nil|Steady (11)|12|1|1|Solitary|L (10' diameter)|See below|+1 or better weapon to hit|15|Nil|650|Neutral|3|Any land|1-10
['2116']|flamspir|Kara-Tur (Forgotten Realms)|Flame Spirit|Flame Spirit|Least|Any combustible|Very rare|2|Low (5-7)|Nil|Average (10)|9|1|1|Solitary|T (1' diameter)|See below|+1 or better weapon to hit|19|Nil|120|Neutral|4|Any land|1-4
['2116']|flamspir|Kara-Tur (Forgotten Realms)|Flame Spirit|Flame Spirit|Lesser|See below|Very rare|4|Low (5-7)|Nil|Average (10)|12|1|1|Solitary|M (6' diameter)|See below|+1 or better weapon to hit|17|Nil|270|Neutral|4|Active volcanos|1-6
['2116', '2602']|foocreat|Kara-Tur (Forgotten Realms)|Foo Creature|Foo Creature|Foo Dog|Special|Rare|7+7|Very (11-12)|45%|Elite (13)|27|2-8|3|Mated pair or pack|M (3-4' long)|+1 vs. lawful evil|See below|13 (or 11)|Nil|3,000|Chaotic good|0|Any land|2-5/2-5/1-12
['2116', '2602']|foocreat|Kara-Tur (Forgotten Realms)|Foo Creature|Foo Creature|Foo Lion|Special|Very rare|11+11|Exceptional (15-16)|55%|Champion (15)|21|1-4|3|Solitary or pride|L (7' long)|+1 vs. lawful evil|See below|9 (or 5)|Nil|7,000|Chaotic good|-1|Astral, ethereal, and various Outer Planes|2-8/2-8/2-16
['2116']|gaki|Kara-Tur (Forgotten Realms)|Gaki|Gaki|Jiki-ketsu-gaki|Special|Very rare|8|Very (11-12)|Nil|Steady (11)|12, Fl 6 (C)|1|3|Solitary|M (5' tall)|See below|See below|13|Nil|3,000|Chaotic evil|2|Any land|1-3/1-3/1-8
['2116']|gaki|Kara-Tur (Forgotten Realms)|Gaki|Gaki|Jiki-niku-gaki|Special|Rare|3|Low (5-7)|Nil|Average (10)|12, Fl 6 (C)|1-4|3|Solitary or band|M (5' tall)|See below|See below|17|Nil|650|Chaotic evil|6|Any land|1-4/1-4/1-8
['2116']|gaki|Kara-Tur (Forgotten Realms)|Gaki|Gaki|Shikki-gaki|Special|Uncommon|5|Low (5-7)|Nil|Average (10)|12, Fl 6 (C)|1|2|Solitary|M (5' tall)|See below|See below|15|Nil|1,400|Chaotic evil|4|Any land|1-4/1-4
['2116']|gaki|Kara-Tur (Forgotten Realms)|Gaki|Gaki|Shinen-gaki|Special|Uncommon|4|Average (8-10)|Nil|Steady (11)|Fl 18 (C)|1-3|1|Solitary or band|M (5' diameter)|See below|See below|17|Nil|1,400|Chaotic evil|0|Any land|1-10
