TSR|monsterKey|setting|mainTitle|title|name|Diet|Frequency|Hit Dice|Intelligence|Magic Resistance|Morale|Movement|No. Appearing|No. of Attacks|Organization|Size|Special Attacks|Special Defenses|THAC0|Treasure|XP Value|Alignment|Armor Class|Climate/Terrain|Damage/Attack
['2501']|actaeon|Mystara|Actaeon|Actaeon|Actaeon|Herbivore|Rare|11|Very (11-12)|Nil|Champion (15)|15|1|3|Solitary|L (9' tall)|Polymorph breath, summoning|Camouflage|9|P (B)|4,000|Neutral|3|Temperate forest|1d6+6 (spear)/1d6+6 (spear)/2d8 (antlers)
['2501']|agarat|Mystara|Agarat|Agarat|Agarat|Scavenger|Very rare|4+3|Low (7)|Nil|Fearless (20)|9|1d8|3|Pack|M (5-7' tall)|Scream|See below|15|R (B,T)|975|Chaotic evil|4|Any land|1d3 (claw)/1d3 (claw)/1d3 (bite)
['2501']|ashcrawl|Mystara|Ash Crawler|Ash Crawler|Ash Crawler|Carnivore|Rare|3+1|Semi- (2)|Nil|Average (10)|6, Br 6 (ash only)|1d6|1|Solitary|S (just over 2' long without tail)|Tail, locking jaws, 2 claw attacks (+4 to attack, 1d4 damage each)|Resitant to fire|17|See below|270|Neutral|6|Arid areas with fire|1d2 (bite)
['2501']|baldanda|Mystara|Baldandar|Baldandar|Baldandar|Carnivore|Very rare|6|Exceptional (15-16)|Nil|Elite (14)|15|1|3|Solitary|M (6-7' tall)|Illusions, poison bite, spells|Spells|15|P (B)|2,000|Neutral evil|3|Any|1d8 (claw)/1d8 (claw)/1d4 (bite)
['2501']|bargda|Mystara|Bargda|Bargda|Bargda|Omnivore|Rare|12|Average (8-10)|Nil|Champion (16)|12|1d4|2|Solitary|L (9' tall)|Diseased bite|Hideousness|9|O,R (D)|4,000|Chaotic evil|4|Any subterranean or wilderness|4d4 (club)/1d10 (bite)
['2501']|bhut|Mystara|Bhut|Bhut|Bhut|Carnivore|Very rare|7+2|Very (11-12)|Nil|Elite (13)|12|2d4|3|Clan|M (6' tall)|Numbing bite|See below|13|M (D)|1,400|Lawful evil|4|Any settled|1d4 (claw)/1d4 (claw)/1d6 (bite)
['2501']|birdmyst|Mystara|Bird (Mystara)|Bird (Mystara)|Magpie<br>(common)|Insectivore|Common|1-2 hp|Semi- (2)|Nil|Unsteady (6)|1, Fl 36 (B)|1d6|1|Solitary|T (2' long)|Nil|Nil|20|See below|15|Neutral|7|Any temperate|1 (beak)
['2501']|birdmyst|Mystara|Bird (Mystara)|Bird (Mystara)|Magpie<br>(giant)|Insectivore|Rare|1+1|Semi- (4)|Nil|Average (8)|3, Fl 33 (B)|1d4|1|Solitary|S-M (3-5' long)|Nil|Nil|19|See below|65|Neutral|6|Any temperate|1d4 (beak)
['2501']|birdmyst|Mystara|Bird (Mystara)|Bird (Mystara)|Piranhabird<br>(greater)|Carnivore|Very rare|2|Semi- (2)|Nil|Average (10)|Fl 36 (A)|2d6|1|Flock|S (2½' long)|Blood frenzy|Nil|19|Nil|65|Chaotic neutral|6|Nonarctic forest|1d6 (bite)
['2501']|birdmyst|Mystara|Bird (Mystara)|Bird (Mystara)|Piranhabird<br>(lesser)|Carnivore|Rare|1-4 hp|Semi- (2)|Nil|Average (8)|Fl 36 (A)|1d4 wings of 1d4+2 birds|1 (per wing)|Flock|T (1' long)|+2 to attacks|Nil|20|Nil|15|Chaotic neutral|7|Nonarctic forest|1d4 (bite)
['2501']|birdmyst|Mystara|Bird (Mystara)|Bird (Mystara)|Sprackle<br>(greater)|Carnivore|Very rare|2|Semi- (2)|Nil|Average (10)|3, Fl 36 (B)|2d6|1|Rook|S (4' long)|Electricity, armor penetration|Electricity|19|See below|175|Neutral|6|Temperate mountains|1d6 (beak)
['2501']|birdmyst|Mystara|Bird (Mystara)|Bird (Mystara)|Sprackle<br>(lesser)|Insectivore|Very rare|1-4 hp|Animal (1)|Nil|Average (8)|1, Fl 36 (B)|2d6|1|Rook|T (2' long)|Electricity, armor penetration|Electricity|20|See below|65|Neutral|7|Temperate mountains|1d3 (beak)
['2501']|blacball|Mystara|Blackball|Blackball|Blackball|Any (see below)|Very rare|None (see below)|Non- (0)|Nil|Fearless (20)|3|1|0|Solitary|M (5' across)|Disintegration|Disintegration, immune to almost everything|Nil|Nil|8,000|Neutral|10|Any|Nil
['2501']|choker|Mystara|Choker|Choker|Choker|Carnivore|Rare|3|Semi- (2-4)|Nil|Unsteady (7)|9, Br3|1d6|1|Solitary|S (3½' tall)|Strangulation (1d8)|Nil|17|Nil|120|Chaotic evil|4|Subterranean|1d4 (tentacle)
['2501']|coltpixi|Mystara|Coltpixie|Coltpixie|Coltpixie|Herbivore|Very rare|3|Low (7)|Nil|Steady (11)|90|1|2|Solitary|T-L (1-7' tall)|Nil|See below|17|Nil|120|Chaotic neutral|6|Any|1d6 (&times;2) (hooves)
['2501']|cronofch|Mystara|Crone of Chaos|Crone of Chaos|Crone of Chaos|Carnivore|Very rare|6|High (13-14)|Nil|Steady (12)|12|1|2|Solitary|M (5' tall)|Animal control, magical daggers; see below|Nil|15|M (Z)|650|Chaotic evil|7|Any land|1d6 (claw)/1d6 (claw)
['2501']|darkhood|Mystara|Darkhood|Darkhood|Darkhood|Fear|Very rare|13|High (14)|Nil|Fearless (20)|24 (see below)|1d2|1|Solitary|M (6' tall)|Fear, pursuit|+2 or better weapon to hit; immunities (see below)|7|(W)|5,000|Neutral evil|-2|Subterranean|1d4 (touch)
['2501']|darkwing|Mystara|Darkwing|Darkwing|Darkwing|Carnivore|Very rare|3|Low (7)|Nil|Steady (11)|6, Fl 18 (D)|10d3|3|Flock|M (5' tall)|Nil|Nil|17|(B)|65|Neutral evil|5|Any cavern, mountain, hills, plains (night only)|1d4 (claws)/1d4 (claws)/1d6 (bite)
['2501']|decapus|Mystara|Decapus|Decapus|Decapus|Carnivore|Rare|4|Very (11)|Nil|Elite (13)|3, Cl 9 (in trees)|1|9 (hanging from tree)|Solitary|M (4' across)|Nil|Nil|17|(C)|175|Chaotic evil|5|Any forest|1d6 each (tentacles)
['2501']|deepglau|Mystara|Deep Glaurant|Deep Glaurant|Deep Glaurant|Carnivore|Very rare|7|Low (5-7)|Nil|Champion (15)|9, Sw 9, Glide 12 (E)|1d2|3|Solitary or clan|L (8' tall)|Two rear claws (2d4 damage each)|Darkness|13|V (U)|2,000|Chaotic neutral|4|Subterranean|2d4 (claw)/2d4 (claw)/1d4 (bite) or by weapon/by weapon/1d4 (bite)
['2501']|diabolus|Mystara|Diabolus|Diabolus|Diabolus|Omnivore|Very rare|1 (see below)|Average (8-10)|100% (see below)|Average (10) (see below)|12 (see below)|Any|1|Anarchy|M (average 6' tall)|Poison|Nil|20 (see below)|M (A)|Varies with Hit Dice and abilities|Any (usually chaotic good)|Varies (base 9)|Any|By weapon or 1d6 (bite) or 1d4 (tail)
['2501']|dragmycr|Mystara|Dragon (Mystara), Crystalline|Dragon (Mystara), Crystalline|Dragon (Mystara), Crystalline|Ore, gems, crystal|Very rare|15 (base)|Genius (17-18)|Varies|Fanatic (18)|9, FL 30 (C), Br 9|1 (1d4+1)|3|Solitary or clan|G (40' base)|Varies|Varies|5 (base)|Special|Variable|Lawful neutral|-2 (base)|Cold mountains and any arctic|1d12/1d12/2d12 (claw/claw/bite)
['2501']|dragmyja|Mystara|Dragon (Mystara), Jade|Dragon (Mystara), Jade|Dragon (Mystara), Jade|Omnivore|Very rare|13 (base)|Very (11-12)|Varies|Fanatic (18)|9, Fl 30 (C), Sw 9|1 (1d4+1)|3|Solitary or clan|G (base 35')|Varies|Varies|7 (base)|Special|Varies|Neutral|-1 (base)|Any wooded region|1d8/1d8/2d10 (claw/claw/bite)
['2501']|dragmyon|Mystara|Dragon (Mystara), Onyx|Dragon (Mystara), Onyx|Dragon (Mystara), Onyx|Carnivore|Very rare|12 (base)|Low (5-7)|Varies|Fanatic (18)|12, Fl 30 (C), Sw 12|1 (1d4+1)|3|Solitary or clan|G (30' base)|Varies|Varies|9 (base)|Special|Varies|Neutral|0 (base)|Nonarctic shady wetlands|2d4 (daw)/2d4 (claw)/3d6 (bite
['2501']|dragmyru|Mystara|Dragon (Mystara), Ruby|Dragon (Mystara), Ruby|Dragon (Mystara), Ruby|Special|Very rare|14 (base)|Very (11-12)|Varies|Fanatic (18)|9, Fl 30 (C), Jump 3|1 (1d4+1)|3|Solitary or clan|G (48' base)|Varies|Varies|7 (base)|Special|Vanes|Lawful neutral|4 (base)|Non-arctic hills and mountains, and any subterranean|1d8/1d8/3d8 (claw/claw/bite)
