TSR|monsterKey|setting|mainTitle|title|name|Diet|Frequency|Hit Dice|Intelligence|Magic Resistance|Morale|Movement|No. Appearing|No. of Attacks|Organization|Size|Special Attacks|Special Defenses|THAC0|Treasure|XP Value|Alignment|Armor Class|Climate/Terrain|Damage/Attack
['2118', '2602']|aasiagat|Planescape|Aasimon, Agathinon|Aasimon, Agathinon|Aasimon, Agathinon|Omnivore|Uncommon (Upper) or very rare|8|Exceptional (15-16)|20%|Elite (13-14)|15|50-100 (Upper) or 1|1 (weapon) or special|Army (Upper) or solitary|See below|See below|See below|13|Incidental|8,000|Neutral good|0|Upper Planes|By weapon or special
['2118', '2602']|aasideva|Planescape|Aasimon, Deva|Aasimon, Deva|Astral|Omnivore|Very rare|12|Genius (17-18)|70%|Fearless (19-20)|24, Fl 48 (B)|1 or 1-3|2|Solitary|M (7' tall)|Disruption|Spell immunity, protection, never surprised, +2 or better weapons to hit|9|Nil|15,000|Any good|-5|Upper Planes|3d6/3d6
['2118', '2602']|aasideva|Planescape|Aasimon, Deva|Aasimon, Deva|Monadic|Omnivore|Very rare|10|Genius (17-18)|60%|Fearless (19-20)|15, Fl 36 (B)|1 or 1-3|2|Solitary|M (6' tall)|Smiting|Spell immunity, protection, +1 or better weapons to hit|11|Nil|13,000|Any good|-3|Upper Planes|3d4/3d4+8
['2118', '2602']|aasideva|Planescape|Aasimon, Deva|Aasimon, Deva|Movanic|Omnivore|Very rare|8|Genius (17-18)|40%|Fearless (19-20)|12, Fl 30 (B)|1 or 1-3|2|Solitary|M (6' tall)|See below|Parry, protection, never surprised, regeneration, +1 or better weapons to hit|13|Nil|14,000|Any good|-1|Upper Planes|By weapon
['2118', '2602']|aasilite|Planescape|Aasimon, Light|Aasimon, Light|Aasimon, Light|None|Very rare|10|Very (11-12)|50%|Fearless (19-20)|Fl 48 (A)|1|1|Solitary|S (variable composition)|See below|Spell immunity, +2 weapons to hit|11|Nil|10,000|Any good|-10|Upper Planes|1d12
['2118', '2602']|aasiplan|Planescape|Aasimon, Planetar|Aasimon, Planetar|Aasimon, Planetar|Omnivore|Very rare|14|Genius (17-18)|75%|Fearless (19-20)|15, Fl 48 (B)|1|3|Solitary|L (8' tall)|Vorpal weapon + special|Never surprised, regeneration|7 (+6 Strength and weapon bonus)|Nil|20,000|Any good|-7|Upper Planes|1d10+10 (strength and magical bonus)
['2118', '2602']|aasisola|Planescape|Aasimon, Solar|Aasimon, Solar|Aasimon, Solar|Omnivore|Very rare|22 (177 hp)|Supra-genius (19-20)|85%|Fearless (19-20)|18, Fl 48 (B)|1|4|Solitary|L (9' tall)|Vorpal severing, arrows of slaying|See below|5 (+5 weapon bonus)|Nil|32,000|Any good|-10|Upper Planes|2d20+16
['2118', '2602']|animlord|Planescape|Animal Lord|Animal Lord|Cat Lord|Carnivore|Unique|15 (122 hp)|Exceptional (15-16)|50%|Champion (15-16)|21|1|See below|Solitary|See below|Magical weapons,<br>rake, darts|Danger sense|5|Nil|18,000|Neutral|3|Beastlands|See below
['2118', '2602']|animlord|Planescape|Animal Lord|Animal Lord|Hawk Lord|Carnivore|Unique|15 (122 hp)|Exceptional (15-16)|50%|Champion (15-16)|12, Fl 24 (C)|1|See below|Solitary|See below|Dive|Danger sense|5|Nil|18,000|Neutral|4|Beastlands|See below
['2118', '2602']|animlord|Planescape|Animal Lord|Animal Lord|Lizard Lord|Carnivore|Unique|15 (122 hp)|Exceptional (15-16)|50%|Champion (15-16)|15|1|See below|Solitary|See below|Hypnotism|Danger sense,<br>weapon immunity|5|Nil|18,000|Neutral|3|Beastlands|See below
['2118', '2602']|animlord|Planescape|Animal Lord|Animal Lord|Wolf Lord|Carnivore|Unique|15 (122 hp)|Exceptional (15-16)|50%|Champion (15-16)|15|1|See below|Solitary|See below|Poison|Danger sense,<br>weapon immunity|5|Nil|18,000|Neutral|5|Beastlands|See below
['2118', '2602', '2140']|baatabis|Planescape|Baatezu, Lesser, Abishai|Baatezu, Lesser, Abishai|Black|Carnivore|Common|4+1|Average (8-10)|30%|Average (8-10)|9, Fl 12 (C)|2-20|3|Solitary|L (8' tall)|Poison, dive|+1 or better weapons to hit, regeneration|17|Nil|7,000|Lawful evil|5|Baator|1d4/1d4/1d4+1
['2118', '2602', '2140']|baatabis|Planescape|Baatezu, Lesser, Abishai|Baatezu, Lesser, Abishai|Green|Carnivore|Common|5+2|Average (8-10)|30%|Average (8-10)|9, Fl 12 (C)|2-8|3|Solitary|L (7' tall)|Poison, dive|+ 1 or better weapons to hit, regeneration|15|Nil|8,000|Lawful evil|3|Baator|1d4/1d4/1d4+1
['2118', '2602', '2140']|baatabis|Planescape|Baatezu, Lesser, Abishai|Baatezu, Lesser, Abishai|Red|Carnivore|Common|6+3|Average (8-10)|30%|Steady (11-12)|9, Fl 12 (C)|1|3|Solitary|M (6' tall)|Poison, dive|+1 or better weapons to hit, regeneration|13|Nil|9,000|Lawful evil|1|Baator|1d4/1d4/1d4+1
['2118', '2602', '11431']|baatamni|Planescape|Baatezu, Greater, Amnizu|Baatezu, Greater, Amnizu|Baatezu, Greater, Amnizu|Carnivore|Rare|9|Exceptional (15-16)|50%|Elite (13-14)|6, Fl 15 (C)|1-2|1|Solitary|M (4' tall)|Energy channel, forget|+2 weapons to hit|11 (see below)|V,Y|11,000|Lawful evil|-1|Baator|2d4
['2118', '2602', '11431', '9369']|baatbarb|Planescape|Baatezu, Lesser, Barbazu|Baatezu, Lesser, Barbazu|Baatezu, Lesser, Barbazu|Carnivore|Common|6+6|Low (5-7)|30%|Steady (11-12)|15|20-100|3 or 1 (weapon)|Military|M (6' tall)|Glaive, disease, battle frenzy|+1 weapon to hit|13|Nil|6,000|Lawful evil|3|Baator|1d2/1d2/1d8 or 2d6 (weapon)
['2118', '2602', '11431', '9369']|baatcorn|Planescape|Baatezu, Greater, Cornugon|Baatezu, Greater, Cornugon|Baatezu, Greater, Cornugon|Carnivore|Very rare|10|Exceptional (15-16)|50%|Elite (13-14)|9, F1 18 (C)|1-4|4 or 1 + weapon|Solitary|L (9' tall)|Fear, wounding, stun|Regeneration, +2 weapons to hit|11|D,S|10,000|Lawful evil|-2|Baator|1d4/1d4/1d4+1/1d3 or 1d3 + weapon +6 (Strength bonus)
['2118', '2602']|baaterin|Planescape|Baatezu, Lesser, Erinyes|Baatezu, Lesser, Erinyes|Baatezu, Lesser, Erinyes|Carnivore|Uncommon|6+6|High (13-14)|30%|Steady (11-12)|12, Fl 21 (C)|1|1|Solitary|M (6' tall)|Charm, fear, rope of entanglement|+1 weapons to hit|13|See below|7,000|Lawful evil|2|Baator|By weapon
['2118', '2602', '11431']|baatgelu|Planescape|Baatezu, Greater, Gelugon|Baatezu, Greater, Gelugon|Baatezu, Greater, Gelugon|Carnivore|Rare|11|Genius (17-18)|50%|Champion (15-16)|15|1-8|4|Solitary|H (12' tall)|Tail freeze, fear|Regeneration, +2 weapons to hit|9|A,W|19,000|Lawful evil|-3|Baator (Caina)|1d4+4/1d4+4/2d4+4/3d4+4 (Strength bonus)
['2118', '2602', '11431']|baathama|Planescape|Baatezu, Lesser, Hamatula|Baatezu, Lesser, Hamatula|Baatezu, Lesser, Hamatula|Carnivore|Uncommon|7|Very (11-12)|30%|Fearless (19-20)|12|1 or 3-12|3|Solitary|M (7' tall)|Fear, hug|+1 weapons to hit|13|Nil|6,000|Lawful evil|1|Baator|2d4/2d4/3d4
['2118', '2602', '11431']|baatlemu|Planescape|Baatezu, Lemure|Baatezu, Lemure|Baatezu, Lemure|Carnivore|Common|2|Semi- (2-4)|Nil|See below|3|10-100|1|Horde|M (5' tall)|Battle drive|Regeneration|19|Nil|120|Lawful evil|7|Baator|1-3
['2118', '2602', '11431']|baatnupp|Planescape|Baatezu, Least, Nupperibo|Baatezu, Least, Nupperibo|Baatezu, Least, Nupperibo|None|Common|1|Non- (0)|Nil|See below|6|1-100|2 or 1 (by weapon)|Army|M (5' tall)|Nil|Regeneration|19|Nil|120|Lawful evil|9|Baator|1d2/1d2 or by weapon
['2118', '2602', '11431']|baatosyl|Planescape|Baatezu, Lesser, Osyluth|Baatezu, Lesser, Osyluth|Baatezu, Lesser, Osyluth|Carnivore|Uncommon|5|Very (11-12)|30%|Steady (11-12)|12|2-8|4|Solitary|L (9' tall)|Fear, poison|+1 weapons to hit|15|Nil|7,000|Lawful evil|3|Baator|1d4/1d4/1d8/3d4
['2118', '2602', '2140', '9369']|baatpitf|Planescape|Baatezu, Greater, Pit Fiend|Baatezu, Greater, Pit Fiend|Baatezu, Greater, Pit Fiend|Carnivore|Very rare|13|Genius (17-18)|50%|Fearless (19-20)|15, Fl 24 (C)|1-4|6|Solitary|L (12' tall)|Fear, poison, tail constriction|Regeneration, +3 weapons to hit|7|G,W|21,000|Lawful evil|-5|Baator|1d4/1d4/1d6/1d6/2d6/2d4 or weapon +6 (Strength bonus)
['2118', '2602', '11431']|baatspin|Planescape|Baatezu, Least, Spinagon|Baatezu, Least, Spinagon|Baatezu, Least, Spinagon|Carnivore|Common|3+3|Average to very (8-12)|15%|Average (8-10)|6, Fl 18 (C)|1 or 1-3|3|Solitary|S (3' tall)|Flame spikes|See below|17|Nil|3,000|Lawful evil|4|Baator|1d4/1d4/by weapon
['2602', '2117']|baku|Planescape|Baku|Baku|Baku|Herbivore|Very rare|12+12|Exceptional to Genius (15-18)|20%|Elite (13-14)|21|1 (1d4+1)|3|Solitary (or group)|L (as 9' elephant)|Psionics, magical items, trumpet|Psionics, invisibility|7|See below|14,000|Neutral (Any, see below)|-2|Semitropical/forests (Outlands)|3d6/2d6/2d6
['2600', '2602', '2118']|bariaur|Planescape|Bariaur|Bariaur|Bariaur|Herbivore|Uncommon|7|High (13-14)|10%|Steady (11-12)|15|See below|1|Flock|L (7' tall)|Charge|+2 on surprise rolls|13|Nil|2,000|Chaotic good|6|Ysgard|1-8 or by weapon
['2118', '2602']|bebilith|Planescape|Bebilith|Bebilith|Bebilith|Carnivore|Very rare|12|Very (11-12)|50%|Champion (15-16)|9, Wb 18|1|3|Solitary|H (15' long)|Armor destruction, poison|Webs, protection magic, +2 weapons to hit|9|Nil|13,000|Chaotic evil|-5|The Abyss|2d4/2d4/2d6
['2118', '2602']|bodak|Planescape|Bodak|Bodak|Bodak|None|Very rare|9+9|Low (5-7)|Nil|Steady (11-12)|6|1|1|Solitary|M (6' tall)|Death gaze|+1 weapons to hit, spell immunity, immune to poison|11|Nil|5,000|Chaotic evil|5|The Abyss|By weapon
['2118', '2602']|einheria|Planescape|Einheriar|Einheriar|Einheriar|None|Common|4 or more|Average to high (8-14)|5%|Elite (13-14)|12|10-100|1|Troop or army|M (6' tall average)|See below|See below|Varies|Nil|Varies|Varies by plane|Varies|Upper Planes|By weapon
['9433', '2602']|elegchag|Al-Qadim (Forgotten Realms)|Elemental Grue, Chaggrin|Elemental Grue, Chaggrin|Elemental Grue, Chaggrin|Mineral|Very rare (uncommon)|5+5|Low to Average (5-10)|Nil|Average (8-10)|12, Br 3|1 (2-5)|2|Family|S|See below|+1 or better weapon to hit, immune to earth-based magic|15|Nil (C,Q&times;5)|1,400|Neutral evil|4|Any|1d4+2/1d4+2
['9433', '2602']|elegharg|Al-Qadim (Forgotten Realms)|Elemental Grue, Harginn|Elemental Grue, Harginn|Elemental Grue, Harginn|Omnivore|Very rare (uncommon)|4+4|Average to high (8-14)|Nil|Champion (15-16)|15|1 (2-8)|1|Caste|M|Spells, fire gout|+1 or better weapon to hit, immune to fire-based spells|15|Nil (I&times;½)|650|Neutral evil|3|Any hot|By weapon or 1d4+4
['9433', '2602']|elegildr|Al-Qadim (Forgotten Realms)|Elemental Grue, Ildriss|Elemental Grue, Ildriss|Elemental Grue, Ildriss|Omnivore|Very rare (uncommon)|4|Low to very (5-12)|Nil|Champion (15-16)|3 as fog, Fl 24 (A)|1 (2-8)|1|Solitary|M|Surprise, attack first|+2 or better weapon to hit, immune to air attacks|17|Nil (Qx2,X)|420|Neutral evil|2|Any|3d4
['9433', '2602']|elegvarr|Al-Qadim (Forgotten Realms)|Elemental Grue, Varrdig|Elemental Grue, Varrdig|Elemental Grue, Varrdig|Omnivore|Very rare (uncommon)|6+6|Semi- to Average (2 to 10)|Nil|Elite (13-14)|6, Sw 18|1-3 (2-5)|2|Triad|M (L)|Blinding, drowning|+1 or better weapon to hit, immune to water attacks|13|Nil (F&times;½)|2,000<br>Triad: 8,000|Neutral evil|5|Any|1-4/1-4 or 4d4/4d4
['2116', '2602']|foocreat|Kara-Tur (Forgotten Realms)|Foo Creature|Foo Creature|Foo Dog|Special|Rare|7+7|Very (11-12)|45%|Elite (13)|27|2-8|3|Mated pair or pack|M (3-4' long)|+1 vs. lawful evil|See below|13 (or 11)|Nil|3,000|Chaotic good|0|Any land|2-5/2-5/1-12
['2116', '2602']|foocreat|Kara-Tur (Forgotten Realms)|Foo Creature|Foo Creature|Foo Lion|Special|Very rare|11+11|Exceptional (15-16)|55%|Champion (15)|21|1-4|3|Solitary or pride|L (7' long)|+1 vs. lawful evil|See below|9 (or 5)|Nil|7,000|Chaotic good|-1|Astral, ethereal, and various Outer Planes|2-8/2-8/2-16
['2118', '2602']|gehrelet|Planescape|Gehreleth|Gehreleth|Farastu|Carnivore|Very rare|11|Average (8-10)|50%|Champion (15-16)|15, Fl 30 (C)|1|3|Solitary|M (7' tall)|Battle frenzy, adhesive|Adhesive, +1 or better weapons to hit|9|Nil|14,000|Chaotic evil|-1|Carceri|1d6+1/1dG+1/3d4 or weapon +7 (Strength bonus)
['2118', '2602']|gehrelet|Planescape|Gehreleth|Gehreleth|Kelubar|Carnivore|Very rare|13|Very (11-12)|50%|Champion (15-16)|12, Fl 24 (C)|1|3|Solitary|M (6½'tall)|Stench, acidic slime|+2 or better weapons to hit|7|Nil|17,000|Chaotic evil|-2|Carceri|2d4/2d4/4d4 or weapon +9 (Strength bonus)
['2118', '2602']|gehrelet|Planescape|Gehreleth|Gehreleth|Shator|Carnivore|Very rare|15|Genius (17-18)|50%|Fanatic (17-18)|9, Fl 18 (C)|1|3|Solitary|M (6' tall)|Magical weapons|Immune to nonmagical attacks, +3 or better weapons to hit, +2 to surprise rolls|5|Nil|22,000|Chaotic evil|-3|Carceri|1d6+1/1d6+1/3d4 or weapon +9 (Strength bonus)
['2118', '2140', '2602', '2428']|githyank|Planescape|Githyanki|Githyanki|Githyanki|Omnivore|Very rare|Per class and level|Exceptional to genius (15-18)|Nil|Average to elite (8-14)|12, 96 on Astral plane|2-8 (away from lair)|Per class and level|Dictatorship/monarchy|M (6' tall)|Possible spell use, possible magical weapon|Nil|Per class and level|Individuals R; Lair H|Per class and level|Any evil|Per armor|Astral or prime|Per weapon type
