TSR|monsterKey|setting|mainTitle|title|name|Diet|Frequency|Hit Dice|Intelligence|Magic Resistance|Morale|Movement|No. Appearing|No. of Attacks|Organization|Size|Special Attacks|Special Defenses|THAC0|Treasure|XP Value|Alignment|Armor Class|Climate/Terrain|Damage/Attack
['2119']|alchplan|Spelljammer|Alchemy Plant|Alchemy Plant|Alchemy Plant|Special|Very rare|1|Semi- (2-4)|Nil|Nil|0|1|0|Single Plant|S (1-3' tall)|Nil|See below|0|Nil|25|Neutral|See below|Any|Nil
['2119']|allura|Spelljammer|Allura|Allura|Allura|Omnivore|Very rare|6+1|Highly (14)|20%|Elite (14)|9|1-6|1|Group|M (5')|Spells|Spells|15|W|975|Chaotic neutral|6|Any|1d8 (weapon)
['2119']|aperusa|Spelljammer|Aperusa|Aperusa|Aperusa|Omnivore|Common|1+1|Average (8-10)|10%|Steady (11)|12|5-50|1|Clan|M (5-6' tall)|See below|See below|19|E (O,V)|175<br>Sword: 975<br>Umbra: 975<br>Clan Leader: 3,000|Chaotic neutral (good)|6|Any|By weapon
['2119']|autognom|Spelljammer|Autognome|Autognome|Autognome|None|Very rare|5+5|Semi- (4)|Nil|Fearless (19)|5, Fl 6 (E), Sw 3, Br 4|1|3 or special|None|S (3' tall)|See below|See below|15|Special|975|Neutral good|0|Any|1d10/1d10 or special
['2119']|bionoid|Spelljammer|Bionoid|Bionoid|Bionoid|Omnivore|Very rare|12|Average to Exceptional (8-16)|Nil|Elite (13-14)|48|1|6|Solitary|L (9-11' tall)|Vorpal attacks, energy blast, crush|See below|9|Special|6,000|Neutral good|-3|Any|1d8(&times;2)/1d10(&times;2)/2d8(&times;2)
['2119']|bloodsac|Spelljammer|Bloodsac|Bloodsac|Bloodsac|Blood|Rare|4+4|Semi- (3)|Nil|Elite (14)|3, Fl 18 (C)|3-12|1|Swarm|S (4' diameter)|Surprise|Nil|16|Nil|420|Chaotic evil|6|Wildspace|2d10
['2119']|buzzjewe|Spelljammer|Buzzjewel|Buzzjewel|Buzzjewel|Gems|Very rare|1+1|Animal (1)|45%|Unreliable (2)|3, Fl 24 (A)|10-60|1|Swarm|T (6&rdquo; long)|Poison|See below|19|Special|650|Neutral|-3|Wildspace|1d8 + poison
['2119']|constell|Spelljammer|Constellate|Constellate|Constellate|None|Common|N/A|Low (5-7)|Nil|Fearless (19-20)|Varies|1|1|Constellation|G (1 to 100 million sqare miles)|See below|Nil|2|Nil|N/A|Neutral|5 (-10)|Wildspace|See below
['2119']|contempl|Spelljammer|Contemplator|Contemplator|Contemplator|None|Very rare|13+1|Godlike (21)|50%|Fanatic (18)|24|1|3 (5)|Solitary|L (12')|See below|Spell|7|H|13,000|Neutral|0|Asteroid|2d10/2d10/2d10 (2d8/2d8)
['2119']|dohwar|Spelljammer|Dohwar|Dohwar|Dohwar|Omnivore|Common|3|Average (10)|Nil|Irregular (7)|3, Sw 9|4-40 (90-180)|1|Cartel|S (4' tall)|Nil|Nil|18|H (Z)|3 HD Salesman: 65<br>4 HD Merchant: 120<br>5 HD Protector: 175<br>6 HD Manager: 270<br>7 HD Executive Board Member: 420<br>9 HD President: 1,400|Chaotic neutral|5|Any|1d4
['2119']|dragmoon|Spelljammer|Dragon, Moon|Dragon, Moon|Dragon, Moon|Omnivore|Rare|9 (base)|Highly (13-14)|Variable|Elite (15)|12, Fl 18 (C)|1 (1-3)|3 + special|Solitary or clan|G (25' base)|Special|Variable|12 (base)|Special|Variable|Variable|4 (base)|Moons|1d4/1d4/2d10
['2119']|dragstel|Spelljammer|Dragon, Stellar|Dragon, Stellar|Dragon, Stellar|Special|Very rare|50|Godlike (21+)|Variable|Fearless (19-20)|12, Fl 48 (A)|1|Special|Solitary/tribal|G (1,200' base)|Special|Variable|5|See below|54,000|Neutral|-2|Wildspace/phlogiston|Variable
['2119']|dragsun|Spelljammer|Dragon, Sun|Dragon, Sun|Dragon, Sun|Omnivore|Rare|10 (base)|Exceptional (15-16)|Variable|Elite (16)|12, Fl 36 (C)|1 (2-5)|3 + special|Solitary or clan|G (70' base)|Special|Variable|11 (base)|Special|Variable|Any good|1 (base)|Stars|1d10/1d10/3d8
['2119']|dreaslay|Spelljammer|Dreamslayer|Dreamslayer|Dreamslayer|Special|Very rare|8|Exceptional (15)|90%|Fanatic (18)|12, Fl 24 (B), SR 5|1|1|Solitary|M (7' tall)|See below|See below|13|Nil|10,000|Chaotic evil|-2|Wildspace/Astral plane|Special
['2119']|dweoborn|Spelljammer|Dweomerborn|Dweomerborn|Dweomerborn|Magic|Rare|10|Very (12)|Special|Fanatic (17)|6+special|1|2|Solitary|L (8' tall)|Special|+2 or better weapon to hit|11|Nil|9,000|Neutral evil|-4|Wildspace|1d12/1d12
