TSR|monsterKey|setting|mainTitle|title|name|Diet|Frequency|Hit Dice|Intelligence|Magic Resistance|Morale|Movement|No. Appearing|No. of Attacks|Organization|Size|Special Attacks|Special Defenses|THAC0|Treasure|XP Value|Alignment|Armor Class|Climate/Terrain|Damage/Attack
['2433']|aarakath|Dark Sun|Aarakocra (Athas)|Aarakocra (Athas)|Aarakocra (Athas)|Carnivore|Rare|2+2|Average (8-10)|Nil|Steady (11)|6, Fl 36 (C)|1d10|2|Tribal|M (20'+ wingspan)|Nil|Nil|17|Varies|65|Any|7|Deep desert|1d3/1d3 or by weapon
['2140', '2103']|aarakocr|ADnD|Aarakocra|Aarakocra|Aarakocra|Carnivore|Very rare|1+2|Average (8-10)|Nil|Steady (11)|6, Fl 36 (C)|1-10|2|Tribal|M (20' wing span)|Dive +4|Nil|19|D|65|Neutral good|7|Tropical and temperate mountains|1-3/1-3 or 2-8 (weapon)
['2109']|aartuk|Spelljammer|Aartuk|Aartuk|Elder|Omnivore|Very rare|5+1|High (13-14)|Nil|Champion (15-16)|5 (6)|1 per tribe|1|Tribe|L (8' tall)|Spells|See below|15|W (I)|3,000|Lawful evil|5 (6)|Any|5-30 (fire seeds)
['2109']|aartuk|Spelljammer|Aartuk|Aartuk|Warrior|Omnivore|Rare|2+1|Average (8-10)|Nil|Steady (11-12)|6 (6)|10-100|1|Tribe|M (6' tall)|Nil|Nil|19|Q (I)|120|Lawful evil|6 (6)|Any|1-8 (pellets)
['2118', '2602']|aasiagat|Planescape|Aasimon, Agathinon|Aasimon, Agathinon|Aasimon, Agathinon|Omnivore|Uncommon (Upper) or very rare|8|Exceptional (15-16)|20%|Elite (13-14)|15|50-100 (Upper) or 1|1 (weapon) or special|Army (Upper) or solitary|See below|See below|See below|13|Incidental|8,000|Neutral good|0|Upper Planes|By weapon or special
['2118', '2602']|aasideva|Planescape|Aasimon, Deva|Aasimon, Deva|Astral|Omnivore|Very rare|12|Genius (17-18)|70%|Fearless (19-20)|24, Fl 48 (B)|1 or 1-3|2|Solitary|M (7' tall)|Disruption|Spell immunity, protection, never surprised, +2 or better weapons to hit|9|Nil|15,000|Any good|-5|Upper Planes|3d6/3d6
['2118', '2602']|aasideva|Planescape|Aasimon, Deva|Aasimon, Deva|Monadic|Omnivore|Very rare|10|Genius (17-18)|60%|Fearless (19-20)|15, Fl 36 (B)|1 or 1-3|2|Solitary|M (6' tall)|Smiting|Spell immunity, protection, +1 or better weapons to hit|11|Nil|13,000|Any good|-3|Upper Planes|3d4/3d4+8
['2118', '2602']|aasideva|Planescape|Aasimon, Deva|Aasimon, Deva|Movanic|Omnivore|Very rare|8|Genius (17-18)|40%|Fearless (19-20)|12, Fl 30 (B)|1 or 1-3|2|Solitary|M (6' tall)|See below|Parry, protection, never surprised, regeneration, +1 or better weapons to hit|13|Nil|14,000|Any good|-1|Upper Planes|By weapon
['2118', '2602']|aasilite|Planescape|Aasimon, Light|Aasimon, Light|Aasimon, Light|None|Very rare|10|Very (11-12)|50%|Fearless (19-20)|Fl 48 (A)|1|1|Solitary|S (variable composition)|See below|Spell immunity, +2 weapons to hit|11|Nil|10,000|Any good|-10|Upper Planes|1d12
['2613']|aasimar|Planescape|Aasimar|Aasimar|Aasimar|Omnivore|Rare|3+3|Very (11-12)|10%|Elite (13-14)|12|1 (1-2)|1 or by weapon|Solitary|M (5½-6½' tall)|Spell use|½ damage from fire and cold; +2 to saves vs. <i>charm</i>, <i>emotion</i>, <i>fear</i>, or <i>domination</i>|17|R,U|420|Any nonevil|3 (10)|Any|1d3 or by weapon
