TSR|monsterKey|setting|mainTitle|title|name|Diet|Frequency|Hit Dice|Intelligence|Magic Resistance|Morale|Movement|No. Appearing|No. of Attacks|Organization|Size|Special Attacks|Special Defenses|THAC0|Treasure|XP Value|Alignment|Armor Class|Climate/Terrain|Damage/Attack
['2107']|aspis|Greyhawk|Aspis|Aspis|Cow|Omnivore|Very rare|10|Low (5-7)|Nil|Elite (13-14)|3|1|1|Hive|H (15' long)|Nil|See below|11|Nil|2,000|Neutral|7|Any/Subterranean|3-18
['2107']|aspis|Greyhawk|Aspis|Aspis|Drone|Omnivore|Rare|6|Very (11-12)|Nil|Elite (13-14)|15|2-20|2|Hive|M (6' long)|Nil|See below|15|F|650|Neutral|3 (2)|Any/Subterranean|1-4 or by weapon
['2107']|aspis|Greyhawk|Aspis|Aspis|Larva|Omnivore|Rare|2-5|Non- (0)|Nil|2-3 HD: Steady (11-12)<br>4-5 HD: Elite (13-14)|1, Sw 6|6-60|1|Hive|S (1½-3' long)|Nil|See below|2 HD: 19<br>3-4 HD: 17<br>5 HD: 15|Nil|2 HD: 65<br>3 HD: 120<br>4 HD: 175<br>5 HD: 270|Neutral|6|Any/Subterranean|2-7
['2107']|beastman|Greyhawk|Beastman|Beastman|Beastman|Omnivore|Very rare|2|Average (8-10)|80%|Steady (11-12)|12|2-12|1|Tribal|M (5' tall)|Nil|Camouflage|19|K,Q|270|Neutral (good)|8|Tropical and subtropical/Forests|By weapon (1-8 usually)
['2166', '2107']|beetle|Advanced Dungeons & Dragons 2nd Edition|Beetle|Beetle|Death Watch|Carnivore|Very rare|9|Animal (1)|Nil|Elite (13-14)|12|1|1|Solitary|M (5' long)|Death rattle|Camouflage|11|Nil|2,000|Neutral|3|Temperate forest|3d4
['2166', '2107']|beetle|Advanced Dungeons & Dragons 2nd Edition|Beetle|Beetle|Slicer|Carnivore|Rare|6|Non- (0)|Nil|Elite (13-14)|6|1-3|1|Solitary|S (3' long)|Dismemberment|Nil|15|See below|420|Neutral|3|Temperate forest|2d8
['2166', '2107']|beetle|Advanced Dungeons & Dragons 2nd Edition|Beetle|Beetle|Stink|Carnivore|Rare|3+1|Animal (1)|Nil|Steady (11-12)|3|1-3|1|Solitary|S (3' long)|Stink|Nil|17|Nil|120|Neutral|5|Temperate forest|1d6
['2107']|bonesnap|Greyhawk|Bonesnapper|Bonesnapper|Bonesnapper|Carnivore|Rare|4|Non- (0)|Nil|Special|6|1-3|2|Solitary|M (5' tall)|Nil|Nil|17|C|120|Neutral|4|Tropical or subtropical/Forests and swamps|1-8/1-4
['2107']|booka|Greyhawk|Booka|Booka|Booka|Omnivore|Uncommon|½|Very (11-12)|10%|Average (8-10)|12, Fl 18 (A)|1-4|0|Family|T (1' tall)|Nil|Invisibility|20|J|35|Neutral (chaotic good)|7|Temperate to subarctic/Inhabited regions|Nil
['2107']|browbuck|Greyhawk|Brownie, Buckawn|Brownie, Buckawn|Brownie, Buckawn|Omnivore|Rare|1-1|Average to very (8-12)|10%|Steady (11-12)|12|5-20|1|Clan|T (2' tall)|See below|See below|20|X|420|Neutral|3|Temperate/Forests|By weapon
