TSR|monsterKey|setting|mainTitle|title|name|Diet|Frequency|Hit Dice|Intelligence|Magic Resistance|Morale|Movement|No. Appearing|No. of Attacks|Organization|Size|Special Attacks|Special Defenses|THAC0|Treasure|XP Value|Alignment|Armor Class|Climate/Terrain|Damage/Attack
['2139']|brailivi|Ravenloft|Brain, Living|Brain, Living|Brain, Living|Special|Unique|1 (8 hp)|Supra-genius (20)|Nil|Average (9)|Special|1|1|Solitary|Tiny (about 8&rdquo; diameter)|See below|See below|19|Nil|975|Neutral evil|10|Dementlieu (Port-a-Lucine)|See below
['2139']|ermonoro|Ravenloft|Ermordenung, Nostalia Romaine|Ermordenung, Nostalia Romaine|Ermordenung, Nostalia Romaine|Omnivore|Unique|4 (27 hp)|Very (12)|Nil|Fanatic (17)|15|1|1|Solitary|M (5'11&rdquo;)|Poison; charm|Immune to poison|17|W (I)|1,400|Lawful evil|10|Borca|2-5 (1d4+1)
['2139']|ghoughjh|Ravenloft|Ghoul, Ghast, Jugo Hesketh|Ghoul, Ghast, Jugo Hesketh|Ghoul, Ghast, Jugo Hesketh|Corpses|Unique|4 (24 hp)|Very (11)|Nil|Elite (13)|15|1|3|Pack|M (6'3&rdquo; tall)|Paralysis|Stench|17|Q,R,S,T (B)|650|Chaotic evil|4|Tepest|1-4 (1d4)/1-4 (1d4)/1-8 (1d8)
['2139']|golehalf|Ravenloft|Golem, Half-|Golem, Half-|Golem, Half-|Omnivore|Unique|7 (50 hp)|Highly (13)|Nil|Champion (16)|9|1|1|Solitary|M (6'6&rdquo; tall)|Nil|+1 or better weapon to hit; spell immunities; regeneration|13|Nil|5,000|Neutral|9|Nova Vaasa|2-16 (2d8) or 3-8 (1d6+2)
['2139']|golemech|Ravenloft|Golem, Mechanical, Ahmi Vanjuko|Golem, Mechanical, Ahmi Vanjuko|Golem, Mechanical, Ahmi Vanjuko|None|Unique|13 (75 hp)|Average (10)|Nil|Steady (12)|12|1|1|Solitary|M (7' tall)|Electric shock|+2 or better weapons to hit; spell immunities; lightning aura|7|Nil|15,000|Chaotic neutral|-2|Vechor|4-40 (4d10)
['2139']|humacurs|Ravenloft|Human, Cursed (Jacqueline Montarri)|Human, Cursed (Jacqueline Montarri)|Human, Cursed (Jacqueline Montarri)|Omnivore|Unique|5 (20 hp)|Varies|50%|Fanatic (19)|12|1|1|Solitary|M (5'10&rdquo; tall)|Decapitation|Regeneration|15 (12) or better|(F)|Varies (2,000+)|Neutral evil|10|Barovia|4-11 (1d8+3)
['2139']|humamadm|Ravenloft|Human, Madman (The Midnight Slasher)|Human, Madman (The Midnight Slasher)|Human, Madman (The Midnight Slasher)|Omnivore|Unique|5 (17 hit points)|Average (10)|Nil|Unsteady (7)|12|1|1|Solitary|M (6'2&rdquo; or 5'8&rdquo;; see below)|Triple damage on backstabs|Hide in Shadows 90%|18|Nil|650|Chaotic evil|8|Invidia (Karina)|2-5 (1d4+1)
['2139']|humavood|Ravenloft|Human, Voodan|Human, Voodan|Human, Voodan|Carnivore|Unique|1 (3 hit points)|Exceptionally (16)|Nil|Average (8)|6|1|1|Solitary|M (5' tall)|Voodan rituals|Voodan rituals|See below|S,V|120|Lawful neutral|10|Souragne|1-2 (1d2)
['2139']|lichbard|Ravenloft|Lich, Bardic|Lich, Bardic|Lich, Bardic|Magical energies|Unique|9 (45 hit points)|Genius (17)|Special|Champion (16)|12|1|1|Solitary|M (6' tall)|Magic absorption|+1 or better weapon to hit; fear aura|11|W|13,000|Neutral good|0|Any in Ravenloft|2-8 (2d4)
['2139']|lycawetj|Ravenloft|Lycanthrope, Weretiger (Jahed)|Lycanthrope, Weretiger (Jahed)|Lycanthrope, Weretiger (Jahed)|Carnivore|Very rare|6+2 (42 hit points)|Exceptional (15)|Nil|Fanatic (18)|12|1|3|Pack|M (5'10&rdquo; tall)|2-5(1d4+1)/2-5(1d4+1)|Hit only by silver or magical weapons|15|Q&times;5 (D)|2,000|Lawful evil|3|Sri Raji|1-4(1d4)/1-4(1d4)/1-12(1d12)
['2139']|meazelsa|Ravenloft|Meazel (Salizarr)|Meazel (Salizarr)|Meazel (Salizarr)|Carnivore|Unique|4 (13 hit points)|Low (6)|Nil|Steady (11)|12|1|2|Solitary|M (4'6&rdquo; tall)|Strangulation; disease; thief abilities|Thief abilities|15|(B)|270|Chaotic evil|8|Darkon|1-4 (1d4)/1-4 (1d4)
['2139']|medusarv|Ravenloft|Medusa (Ravenloft)|Medusa (Ravenloft)|Medusa (Ravenloft)|Omnivore|Unique|6 (27 hit points)|Very (11)|Nil|Elite (13)|9|1|1|Solitary|M (6' tall)|Petrification; poison; blindness|Nil|15|P,Q&times;10,X (Y)|3,000|Lawful evil|5|Lamordia (Demise)|1 or 1-6 (1d6)
['2139']|mummgrse|Ravenloft|Mummy, Greater, Senmet|Mummy, Greater, Senmet|Mummy, Greater, Senmet|None|Unique|8+3 (45 hp)|Genius (17)|Nil|Fanatic (18)|9|1|1|Solitary|M (6'3&rdquo; tall)|Fear aura; disease|Immune to normal weapons; half-damage from magical weapons; immune to cold and non-magical fire.|11 (10)|V (A&times;2)|8,000|Lawful evil|2|Har'Akir|3-18 (3d6)
['2139']|nighagst|Ravenloft|Night Hag, Styrix|Night Hag, Styrix|Night Hag, Styrix|Carnivore|Unique|8 (40 hit points)|Exceptional (16)|65%|Average (8)|9|1|1|Solitary|M (5' tall)|Disease; magical sleep|Spell immunities; cold iron, silver, or +3 weapon to hit|13|Nil|16,000|Neutral evil|0|Darkon|2-12 (2d6)
['2139']|specjewa|Ravenloft|Spectre, Jezra Wagner|Spectre, Jezra Wagner|Spectre, Jezra Wagner|Body heat|Unique|7+3 (47 hp)|High (14)|Nil|Champion (16)|15, Fl 30 (B)|1|1|Solitary|M (5'1&rdquo; tall)|Heat drain|+1 or better weapon to hit|13|(Q&times;3)|7,000|Lawful evil|2|Barovia (Mt. Baratok)|2-16 (2d8)
