TSR|monsterKey|setting|mainTitle|title|name|Diet|Frequency|Hit Dice|Intelligence|Magic Resistance|Morale|Movement|No. Appearing|No. of Attacks|Organization|Size|Special Attacks|Special Defenses|THAC0|Treasure|XP Value|Alignment|Armor Class|Climate/Terrain|Damage/Attack
['2140', '2103']|aarakocr|ADnD|Aarakocra|Aarakocra|Aarakocra|Carnivore|Very rare|1+2|Average (8-10)|Nil|Steady (11)|6, Fl 36 (C)|1-10|2|Tribal|M (20' wing span)|Dive +4|Nil|19|D|65|Neutral good|7|Tropical and temperate mountains|1-3/1-3 or 2-8 (weapon)
['2140', '2103']|aboleth|Advanced Dungeons & Dragons 2nd Edition|Aboleth|Aboleth|Aboleth|Omnivore|Very rare|8|High (13-14)|Nil|Elite (13)|3, Sw 18|1d4|4|Brood|H (20' long)|See below|Slime|13|F|5,000|Lawful evil|4|Tropical and temperate/Subterranean|1-6 (&times;4)
['2140', '2428', '2103']|ankheg|Advanced Dungeons & Dragons 2nd Edition|Ankheg|Ankheg|Ankheg|Omnivore|Rare|3-8|Non- (0)|Nil|Average (9)|12, Br 6|1-6|1|Brood|L-H (10-20' long)|Squirt acid|Nil|17-13|C|175-975|Neutral|Overall 2, underside 4|Temperate and tropical/Plains and forests|3-18 (crush)+1-4 (acid)
['2140', '2613', '1049']|arcane|Planescape|Arcane|Arcane|Arcane|Omnivore|Very rare|10|Genius (17-18)|40%|Champion (15)|12|1 (1-6)|1|Entourage|L (12' tall)|Nil|<i>Invisibility</i>, <i>dimension door</i>|11|R|3,000|Lawful neutral|5 (3)|Any|1-8 (weapon)
['2109', '2140']|argos|Spelljammer|Argos|Argos|Argos|Omnivore|Very rare|5-10|Low to High (5-14)|25%|Champion (16)|9, Fl 3 (B)|1|3 per victim|Solitary|L-G (2' per HD)|See below|See below|5-6 HD: 15<br>7-8 HD: 13<br>9-10 HD: 11<br>|U|5-6 HD: 2,000 (+1,000 for each additional HD)|Neutral evil|0|Space/Any Earth-based body|1-4
['2140']|aurumvor|Advanced Dungeons & Dragons 2nd Edition|Aurumvorax|Aurumvorax|Aurumvorax|Carnivore (see below)|Very rare|12|Animal (1)|Nil|Fearless (19-20)|9, Br 3|1|1|Solitary|S (3' long)|2-8 claws for 2-8 each|See below|9|Special|9,000|Neutral|0|Temperate hills|2-8
['2118', '2602', '2140']|baatabis|Planescape|Baatezu, Lesser, Abishai|Baatezu, Lesser, Abishai|Black|Carnivore|Common|4+1|Average (8-10)|30%|Average (8-10)|9, Fl 12 (C)|2-20|3|Solitary|L (8' tall)|Poison, dive|+1 or better weapons to hit, regeneration|17|Nil|7,000|Lawful evil|5|Baator|1d4/1d4/1d4+1
['2118', '2602', '2140']|baatabis|Planescape|Baatezu, Lesser, Abishai|Baatezu, Lesser, Abishai|Green|Carnivore|Common|5+2|Average (8-10)|30%|Average (8-10)|9, Fl 12 (C)|2-8|3|Solitary|L (7' tall)|Poison, dive|+ 1 or better weapons to hit, regeneration|15|Nil|8,000|Lawful evil|3|Baator|1d4/1d4/1d4+1
['2118', '2602', '2140']|baatabis|Planescape|Baatezu, Lesser, Abishai|Baatezu, Lesser, Abishai|Red|Carnivore|Common|6+3|Average (8-10)|30%|Steady (11-12)|9, Fl 12 (C)|1|3|Solitary|M (6' tall)|Poison, dive|+1 or better weapons to hit, regeneration|13|Nil|9,000|Lawful evil|1|Baator|1d4/1d4/1d4+1
['2118', '2602', '2140', '9369']|baatpitf|Planescape|Baatezu, Greater, Pit Fiend|Baatezu, Greater, Pit Fiend|Baatezu, Greater, Pit Fiend|Carnivore|Very rare|13|Genius (17-18)|50%|Fearless (19-20)|15, Fl 24 (C)|1-4|6|Solitary|L (12' tall)|Fear, poison, tail constriction|Regeneration, +3 weapons to hit|7|G,W|21,000|Lawful evil|-5|Baator|1d4/1d4/1d6/1d6/2d6/2d4 or weapon +6 (Strength bonus)
['2140', '2103']|banshee|Advanced Dungeons & Dragons 2nd Edition|Banshee|Banshee|Banshee|None|Very rare|7|Exceptional (15-16)|50%|Elite (13)|15|1|1|Solitary|M (5'-6' tall)|Death wail|+1 or better weapon to hit|13|(D)|4,000|Chaotic evil|0|Any|1-8
['2140', '2428', '2103']|basilisk|Advanced Dungeons & Dragons 2nd Edition|Basilisk|Basilisk|Dracolisk|Carnivore|Very rare|7+3|Low to Average (5-10)|Nil|Champion (15)|9, Fl 15 (E)|1-2|3|Solitary|H (15-20' long)|See below|Nil|13|C,I|3,000|Chaotic evil|3|Any land|1-6/1-6/3-12
['2140', '2428', '2103']|basilisk|Advanced Dungeons & Dragons 2nd Edition|Basilisk|Basilisk|Greater|Carnivore|Very rare|10|Low (5-7)|Nil|Champion (16)|6|1-7|3|Solitary|L (12' long)|See below|Surprised only on a 1|11|H|7,000|Neutral|2|Any land|1-6/1-6/2-16
['2140', '2428', '2103']|basilisk|Advanced Dungeons & Dragons 2nd Edition|Basilisk|Basilisk|Lesser|Carnivore|Uncommon|6+1|Animal (1)|Nil|Steady (12)|6|1-4|1|Solitary|M (7' long)|Gaze turns to stone|Nil|15|F|1,400|Neutral|4|Any land|1-10
['2140', '2102']|bat|Advanced Dungeons & Dragons 2nd Edition|Bat|Bat|Azmyth|Omnivore|Rare|2|High (13-14)|40%|Elite (14)|3, Fl 24 (A)|1|2|Solitary|S (3')|Magic use|Magic use|19|Nil|650|Chaotic neutral|2|Any land|1/1-2
['2140', '2102']|bat|Advanced Dungeons & Dragons 2nd Edition|Bat|Bat|Common|Omnivore|Common|1-2 hp|Animal (1)|Nil|Unsteady (5-7)|1, Fl 24 (B)|1-100|1|Swarm|T (1')|See below|Nil|20|Nil|15|Neutral|8 (see below)|Any land|1
['2140', '2102']|bat|Advanced Dungeons & Dragons 2nd Edition|Bat|Bat|Huge|Omnivore|Rare|4-6|Low (5-7)|Nil|Steady (11-12)|3, Fl 15 (C)|1-8|1|Flock|H (12-16')|See below|See below|17 (4 HD)<br>15 (5-6 HD)|C|4 HD: 420<br>5 HD: 650<br>6 HD: 975|Neutral evil|7 (see below)|Warm caves|2d4
['2140', '2102']|bat|Advanced Dungeons & Dragons 2nd Edition|Bat|Bat|Large|Omnivore|Uncommon|1d4 hp or 1|Animal (1)|Nil|Unsteady (5-7)|3, Fl 18 (C)|3-18|1|Flock|M (5-6')|Nil|See below|19 or 20|Nil|35|Neutral|8|Any land|1d2 or 1d4
['2140', '2102']|bat|Advanced Dungeons & Dragons 2nd Edition|Bat|Bat|Night Hunter|Carnivore|Uncommon|2+2|Average to High (8-14)|Nil|Steady (11)|2, Fl 18 (A)|1-12 (1-30 in lair)|4|Pack|M (7')|Nil|Nil|19|M,O,Z (in lair)|175|Neutral evil|6|Any land|1-4/1-2/1-2/1-6 or 3-12
['2140', '2102']|bat|Advanced Dungeons & Dragons 2nd Edition|Bat|Bat|Sinister|Omnivore|Rare|4+4|Average to Except. (8-16)|70%|Champion (15-16)|2, Fl 21 (A)|1d6|1|Band|L (9')|Magic use|Energy field|17|Nil|2,000|Lawful evil|3|Any land|2-5
['2140', '2102']|bear|Advanced Dungeons & Dragons 2nd Edition|Bear|Bear|Black|Omnivore|Common|3+3|Semi- (2-4)|Nil|Average (8-10)|12|1-3|3|Family|M (6'+ tall)|Hug|Nil|17|Nil|175|Neutral|7|Temperate land|1-3/1-3/1-6
['2140', '2102']|bear|Advanced Dungeons & Dragons 2nd Edition|Bear|Bear|Brown|Omnivore|Uncommon|5+5|Semi- (2-4)|Nil|Average (8-10)|12|1-6|3|Family|L (9'+ tall)|Hug|Nil|15|Nil|420|Neutral|6|Temperate land|1-6/1-6/1-8
['2140', '2102']|bear|Advanced Dungeons & Dragons 2nd Edition|Bear|Bear|Cave|Omnivore|Uncommon|6+6|Semi- (2-4)|Nil|Average (8-10)|12|1-2|3|Family|H (12'+ tall)|Hug|Nil|13|Nil|650|Neutral|6|Any land|1- 8/1-8/1-12
['2140', '2102']|bear|Advanced Dungeons & Dragons 2nd Edition|Bear|Bear|Polar|Omnivore|Rare|8+8|Semi- (2-4)|Nil|Average (8-10)|12, Sw 9|1-6|3|Family|H (14'+ tall)|Hug|Nil|11|Nil|1,400|Neutral|6|Any cold|1-10/1-10/2-12
['2103', '2140', '2428']|beetlegi|Advanced Dungeons & Dragons 2nd Edition|Beetle, Giant|Beetle, Giant|Bombardier|Carnivore|Common|2+2|Non- (0)|Nil|Elite (13)|9|3-12|1|Solitary|S (4' long)|Acid cloud|Fire cloud|19|Nil|120|Neutral|4|Any forest|2-12
['2103', '2140', '2428']|beetlegi|Advanced Dungeons & Dragons 2nd Edition|Beetle, Giant|Beetle, Giant|Boring|Omnivore|Common|5|Animal (1)|Nil|Elite (14)|6|3-18|1|Solitary|L (9' long)|Nil|Nil|15|C,R,S,T|175|Neutral|3|Any land|5-20
['2103', '2140', '2428']|beetlegi|Advanced Dungeons & Dragons 2nd Edition|Beetle, Giant|Beetle, Giant|Fire|Omnivore|Common|1+2|Non- (0)|Nil|Steady (12)|12|3-12|1|Solitary|S (2½' long)|Nil|Nil|19|Nil|35|Neutral|4|Any land|2-8
['2103', '2140', '2428']|beetlegi|Advanced Dungeons & Dragons 2nd Edition|Beetle, Giant|Beetle, Giant|Rhinoceros|Herbivore|Uncommon|12|Non- (0)|Nil|Elite (14)|6|1-6|2|Solitary|L (12' long)|Nil|Nil|9|Nil|4,000|Neutral|2|Any jungle|3-18/2-16
['2103', '2140', '2428']|beetlegi|Advanced Dungeons & Dragons 2nd Edition|Beetle, Giant|Beetle, Giant|Stag|Herbivore|Common|7|Non- (0)|Nil|Elite (13)|6|2-12|3|Solitary|L (10' long)|Nil|Nil|13|Nil|975|Neutral|3|Any forest|4-16/1-10/1-10
['2103', '2140', '2428']|beetlegi|Advanced Dungeons & Dragons 2nd Edition|Beetle, Giant|Beetle, Giant|Water|Omnivore|Common|4|Non- (0)|Nil|Elite (14)|3, Sw 9|1-12|1|Solitary|M (6' long)|Nil|Nil|17|Nil|120|Neutral|3|Fresh water|3-18
