TSR|monsterKey|setting|mainTitle|title|name|Diet|Frequency|Hit Dice|Intelligence|Magic Resistance|Morale|Movement|No. Appearing|No. of Attacks|Organization|Size|Special Attacks|Special Defenses|THAC0|Treasure|XP Value|Alignment|Armor Class|Climate/Terrain|Damage/Attack
['2122']|bastellu|Ravenloft|Bastellus|Bastellus|Bastellus|Dream essences|Very rare|4|Average (8-10)|Nil|Unsteady (5-7)|Fl 15 (A)|1|1|Solitary|M (6' ta1l)|See below|See below|17|Nil|6,000|Neutral evil|0|Any city or village|Nil
['2122']|batrv|Ravenloft|Bat (Ravenloft)|Bat (Ravenloft)|Sentinel|Carnivore|Very rare|1|Average (8-10)|Nil|Fearless (20)|3, Fl 18 (C)|1|1|Solitary|T (1')|See below|See below|19|Nil|65|Special|6|Any land|1-4 (1d4)
['2122']|batrv|Ravenloft|Bat (Ravenloft)|Bat (Ravenloft)|Skeletal|None|Rare|1-1|Non- (0)|Nil|Fearless (20)|1, Fl 15 (C)|2-12|1|Solitary|T (1')|Nil|See below|20|Nil|65|Neutral|5|Any land|1-3 (1d6/2)
['2122']|bowlyn|Ravenloft|Bowlyn|Bowlyn|Bowlyn|Special|Very rare|4+3|Average (8-10)|Nil|Fearless (20)|18|1|1|Solitary|M (6' tall)|See below|See below|13|Nil|975|Chaotic evil|10|Any ocean or sea|1-6 (1d6)
['2122']|bussgeis|Ravenloft|Bussengeist|Bussengeist|Bussengeist|None|Very rare|N/A|Very (11-12)|See below|Fearless (20)|9|1|N/A|Solitary|M (6' tall)|<i>Despair</i>|See below|Special|Nil|0|Neutral evil|N/A|Any|N/A
['2122']|darkling|Ravenloft|Darkling|Darkling|Darkling|Omnivore|Very rare|2|Very (11-12)|Nil|Average (9)|12|1|1|Solitary|M (6')|See below|See below|19|J,K,M (A)|420|Chaotic evil|8 (10)|Any land|1d4 (or by weapon)
['2122']|doomguar|Ravenloft|Doom Guard|Doom Guard|Doom Guard|Nil|Rare|5|Low (5-7)|Nil|Fearless (20)|9|1-6|1|Solitary|M (6' tall)|Nil|See below|15|Nil|2,000|Neutral|2|Any castle or ruin|1d8 (by weapon)
['2122']|doppplan|Ravenloft|Doppelganger Plant|Doppelganger Plant|Doppelganger Plant|Special|Very rare|11 to 18|Genius (17-18)|Nil|Fanatic (17-18)|Nil|1 or 2|1|Patch|G (10' wide/hp)|Mind bondage|See below|Nil|Nil|25,000|Chaotic evil|10 (vines) or 6 (pods)|Any warm, temperate land|Nil
['2122']|doppplan|Ravenloft|Doppelganger Plant|Doppelganger Plant|Podling|Nil|Very rare|Varies|Genius (17-18)|Varies|Fanatic (17-18)|Varies|1-20|Varies|Band|M (6' tall)|Varies|Varies|Varies|Varies|Varies|Chaotic evil|Varies|Any warm, temperate land|Varies
['2122']|eleravlo|Ravenloft|Elemental (Ravenloft)|Elemental (Ravenloft)|Blood|Special|Very Rare|8, 12, or 16|Low (5-7)|Nil|8 HD: Champion (15-16)<br>12 HD: Champion (15-16)<br>16 HD: Fanatic (17-18)|12|1|1|Solitary|8 HD: L (8' tall)<br>12 HD: L (12' tall)<br>16 HD: H (16' tall)|See below|See below|8 HD: 13<br>12 HD: 9<br>16 HD: 5|Nil|8 HD: 3,000<br>12 HD: 7,000<br>16 HD: 11,000|Neutral|0|Any Ravenloft|3d6
['2122']|eleravlo|Ravenloft|Elemental (Ravenloft)|Elemental (Ravenloft)|Grave|Special|Very rare|8, 12, or 16|Low (5-7)|Nil|8 HD: Champion (15-16)<br>12 HD: Champion (15-16)<br>16 HD: Fanatic (17-18)|6|1|1|Solitary|8 HD: L (8' tall)<br>12 HD: L (12' tall)<br>16 HD: H (16' tall)|Sink|See below|8 HD: 13<br>12 HD: 9<br>16 HD: 5|Nil|8 HD: 3,000<br>12 HD: 7,000<br>16 HD: 11,000|Neutral|0|Any Ravenloft Graveyard|4-40 (4d10)
['2122']|eleravlo|Ravenloft|Elemental (Ravenloft)|Elemental (Ravenloft)|Mist|Special|Very rare|8, 12, or 16|Low (5-7)|Nil|8 HD: Champion (15-16)<br>12 HD: Champion (15-16)<br>16 HD: Fanatic (17-18)|Fl 36 (A)|1|1|Solitary|8 HD: L (8' tall)<br>12 HD: L (12' tall)<br>16 HD: H (16' tall)|<i>Infuse evil</i>|See below|8 HD: 13<br>12 HD: 9<br>16 HD: 5|Nil|8 HD: 4,000<br>12 HD: 8,000<br>16 HD: 12,000|Neutral|0|Any Ravenloft|2-20 (2d10)
['2122']|eleravlo|Ravenloft|Elemental (Ravenloft)|Elemental (Ravenloft)|Pyre|Special|Very rare|8, 12, or 16|Low (5-7)|Nil|8 HD: Champion (15-16)<br>12 HD: Champion (15-16)<br>16 HD: Fanatic (17-18)|12|1|1|Solitary|8 HD: L (8' tall)<br>12 HD: L (12' tall)<br>16 HD: H (16' tall)|See below|See below|8 HD: 13<br>12 HD: 9<br>16 HD: 5|Nil|8 HD: 3,000<br>12 HD: 7,000<br>16 HD: 11,000|Neutral|0|Any Ravenloft land|3d8
['2122', '9331', '9336']|ermorden|Ravenloft|Ermordenung|Ermordenung|Ermordenung|Omnivore|Rare|4|Very (11-12)|Ni1|Champion (15-16)|15|1|1|Solitary|M (6' tall)|See below|See below|17|W (I)|650|Lawful evil|10|Any Borca|Special
['2122']|ghoulord|Ravenloft|Ghoul Lord|Ghoul Lord|Ghoul Lord|Corpses|Very rare|6|High (13-14)|Nil|Elite (13-14)|15|1|3|Solitary|M (6' tall)|See below|See below|15|Q,R,S,T (B)|3,000|Chaotic evil|4|Any land|1d6/1d6/1d10
['2122', '9298']|goblyn|Ravenloft|Goblyn|Goblyn|Goblyn|Carnivorous|Rare|4+4|Low (5-7)|10%|Special/Fearless (20)|12|3-24 (3d8)|2 or 1|Servant|M (4-6')|Special|Nil|13|Nil|975|Neutral evil|4|Any|1d6/1d6 or 2d6
['2122']|golervmz|Ravenloft|Golem (Ravenloft)|Golem (Ravenloft)|Mechanical|Nil|Very rare|13 (75 hp)|Non- (0)|Nil|Fearless (20)|12|1|1|Solitary|M (7' tall)|See below|See below|7|Nil|15,000|Neutral|-2|Any|4d10
['2122']|golervmz|Ravenloft|Golem (Ravenloft)|Golem (Ravenloft)|Zombie|Nil|Very rare|18 (60 hp)|Non- (0)|Nil|Fearless (20)|6|1|2|Solitary|M (6' tall)|See below|See below|4|Nil|17,000|Neutral|2|Any|3d6/3d6
['2122']|grimreap|Ravenloft|Grim Reaper|Grim Reaper|Grim Reaper|Special|Very rare|5|High (13-14)|See below|Fearless (20)|Fl 9 (A)|1|1|Solitary|M (7' tall)|See below|See below|15|Nil|4,000|Neutral|0|Any Ravenloft|See below
['2122']|humaabno|Ravenloft|Human, Abber Nomad|Human, Abber Nomad|Human, Abber Nomad|Omnivore|Common|2|Average (8-10)|Nil|Average (8-10)|12|10-40 (10d4)|1|Tribe|M (6½' tall)|Nil|Resist illusions|19|Nil|65|Neutral|8 (10)|The Nightmare Lands |1-2 or by weapon
['2122']|humarave|Ravenloft|Human (Ravenloft)|Human (Ravenloft)|Lost One|Omnivore|Very rare|1-1|Low (5-7)|Nil|Unsteady (5-7)|6|1|1|Solitary|M (6' tall)|Rage|Nil|20|Nil|7|Neutral|10|Any Ravenloft|1d12 or by weapon
['2122']|humarave|Ravenloft|Human (Ravenloft)|Human (Ravenloft)|Madman|Omnivore|Very rare|2|Average (8-10)|Nil|Average (8-10)|9|1|1|Solitary|M (6' tall)|Surprise|Nil|19|Varies|35|Chaotic evil|Varies|Any urban|1d3 or by weapon
['2122']|impassas|Ravenloft|Imp, Assassin|Imp, Assassin|Imp, Assassin|Carnivore|Rare|3|Very (11-12)|50%|Average (8-10)|6, Fl 18 (B)|1|1|Solitary|T (1' tall)|See below|See below|17|O|975|Lawful evil|0|Any Ravenloft|1d4
['2122']|imperson|Ravenloft|Impersonator|Impersonator|Impersonator|Blood|Rare|5+2|Semi- (2-4)|Nil|Average (8-10)|3|1|1|Solitary|S (4' diameter)|See below|See below|15|Varies|13,000|Neutral evil|8|Any wetlands or subterranean|1d4
['2122']|misthorr|Ravenloft|Mist Horror|Mist Horror|Common|None|Common|5|Low (5-7)|50%|Steady (11-12)|15|1|2|Solitary|Varies|See below|See below|15|Nil|3,000|Neutral evil|2|Ravenloft mists|2d6/2d6
['2122']|misthorr|Ravenloft|Mist Horror|Mist Horror|Wandering|None|Uncommon|5|Average (8-10)|50%|Steady (11-12)|15|1|2|Solitary|Varies|See below|See below|15|Nil|5,000|Chaotic evil|0|Ravenloft mists|2d6/2d6
['2122']|quevari|Ravenloft|Quevari|Quevari|Quevari|Omnivore|Uncommon|1|Average (8-10)|Nil|Average (8-10) or Fanatic (17-18)|12|1-8|1|Village|M (6' tall)|Nil or see below|Nil|19|A, B, C, or D (Z)|15 or 65|Lawful good or chaotic evil|10 or 7|Any land|1d2 or by weapon
['2122', '9298']|quicwood|Ravenloft|Quickwood|Quickwood|Quickwood|Soil nutrients and water|Very rare|5-10|Very (11-12)|Special|Champion (15-16)|1 (3 for roots)|1 (90%), 2-4 (10%)|1d6+12 and mouth|Solitary|L (12'+)|Roots|Spell channeling|5-6 HD: 15<br>7-8 HD: 13<br>9-10 HD: 11|Special|Variable|Neutral|5|Any/Forests|Nil and 3-12
['2122']|ravenkin|Ravenloft|Ravenkin|Ravenkin|Ravenkin|Omnivore|Very rare|1|Exceptional (15-16)|Nil|Elite (13-14)|3, Fl 27 (C)|3-12 (3d4)|1|Flock|M (5' span)|Eye peck, spells|Not surprised|19|U (Communal), I (individual)|175|Neutral good|6|Temperate lands|1d3
['2122']|reaver|Ravenloft|Reaver|Reaver|Reaver|Carnivore|Rare|4+3|Low (5-7)|Nil|Steady (11-12)|6, Sw 18|2-12 (2d6)|3|School|M (7' tall)|Grapple|Cutting scales|15|(A)|420|Chaotic evil|4|Sea of Sorrows|2d6/2d6/2d4
['2122']|scarecrv|Ravenloft|Scarecrow (Ravenloft)|Scarecrow (Ravenloft)|Scarecrow (Ravenloft)|None|Very rare|3|Non- (0)|Nil|Fearless (19-20)|9|1|1|Solitary|M (6' tall)|See below|See below|17|Nil|420|Neutral evil|8|Any farmland|1d4 or by weapon
